"""ID"";""CategoryDrivingLicence"";""AgeDrivingLicenseHolder"";""Region"";""Periods"";""PeopleWithADrivingLicence_1"""
"""302"";""A028200"";""53070"";""PV28  "";""2019JJ00"";""    3073"""
"""303"";""A028200"";""53070"";""PV28  "";""2020JJ00"";""    3129"""
"""304"";""A028200"";""53070"";""PV28  "";""2021JJ00"";""    2001"""
"""305"";""A028200"";""53070"";""PV28  "";""2022JJ00"";""    1714"""
"""306"";""A028200"";""53070"";""PV29  "";""2014JJ00"";""     468"""
"""307"";""A028200"";""53070"";""PV29  "";""2015JJ00"";""     554"""
"""308"";""A028200"";""53070"";""PV29  "";""2016JJ00"";""     570"""
"""309"";""A028200"";""53070"";""PV29  "";""2017JJ00"";""     583"""
"""310"";""A028200"";""53070"";""PV29  "";""2018JJ00"";""     699"""
"""311"";""A028200"";""53070"";""PV29  "";""2019JJ00"";""     635"""
"""312"";""A028200"";""53070"";""PV29  "";""2020JJ00"";""     613"""
"""313"";""A028200"";""53070"";""PV29  "";""2021JJ00"";""     412"""
"""314"";""A028200"";""53070"";""PV29  "";""2022JJ00"";""     307"""
"""315"";""A028200"";""53070"";""PV30  "";""2014JJ00"";""    2199"""
"""316"";""A028200"";""53070"";""PV30  "";""2015JJ00"";""    2640"""
"""317"";""A028200"";""53070"";""PV30  "";""2016JJ00"";""    2877"""
"""318"";""A028200"";""53070"";""PV30  "";""2017JJ00"";""    2974"""
"""319"";""A028200"";""53070"";""PV30  "";""2018JJ00"";""    3345"""
"""320"";""A028200"";""53070"";""PV30  "";""2019JJ00"";""    3052"""
"""321"";""A028200"";""53070"";""PV30  "";""2020JJ00"";""    3040"""
"""322"";""A028200"";""53070"";""PV30  "";""2021JJ00"";""    1906"""
"""323"";""A028200"";""53070"";""PV30  "";""2022JJ00"";""    1511"""
"""324"";""A028200"";""53070"";""PV31  "";""2014JJ00"";""    1031"""
"""325"";""A028200"";""53070"";""PV31  "";""2015JJ00"";""    1229"""
"""326"";""A028200"";""53070"";""PV31  "";""2016JJ00"";""    1375"""
"""327"";""A028200"";""53070"";""PV31  "";""2017JJ00"";""    1409"""
"""328"";""A028200"";""53070"";""PV31  "";""2018JJ00"";""    1391"""
"""329"";""A028200"";""53070"";""PV31  "";""2019JJ00"";""    1392"""
"""330"";""A028200"";""53070"";""PV31  "";""2020JJ00"";""    1318"""
"""331"";""A028200"";""53070"";""PV31  "";""2021JJ00"";""     838"""
"""332"";""A028200"";""53070"";""PV31  "";""2022JJ00"";""     709"""
"""333"";""A028200"";""53070"";""PV99  "";""2014JJ00"";""       1"""
"""334"";""A028200"";""53070"";""PV99  "";""2015JJ00"";""       0"""
"""335"";""A028200"";""53070"";""PV99  "";""2016JJ00"";""       1"""
"""336"";""A028200"";""53070"";""PV99  "";""2017JJ00"";""       0"""
"""337"";""A028200"";""53070"";""PV99  "";""2018JJ00"";""       0"""
"""338"";""A028200"";""53070"";""PV99  "";""2019JJ00"";""       0"""
"""339"";""A028200"";""53070"";""PV99  "";""2020JJ00"";""       0"""
"""340"";""A028200"";""53070"";""PV99  "";""2021JJ00"";""       0"""
"""341"";""A028200"";""53070"";""PV99  "";""2022JJ00"";""       0"""
"""342"";""A028200"";""53090"";""NL01  "";""2014JJ00"";""  170879"""
"""343"";""A028200"";""53090"";""NL01  "";""2015JJ00"";""  174827"""
"""344"";""A028200"";""53090"";""NL01  "";""2016JJ00"";""  181496"""
"""345"";""A028200"";""53090"";""NL01  "";""2017JJ00"";""  188872"""
"""346"";""A028200"";""53090"";""NL01  "";""2018JJ00"";""  199683"""
"""347"";""A028200"";""53090"";""NL01  "";""2019JJ00"";""  204227"""
"""348"";""A028200"";""53090"";""NL01  "";""2020JJ00"";""  208847"""
"""349"";""A028200"";""53090"";""NL01  "";""2021JJ00"";""  186936"""
