"""ID"";""Population"";""Sex"";""PersonalCharacteristics"";""Margins"";""Periods"";""TrafficParticipation_1"";""UseOfPublicTransport_2"""
"""164"";""A048710"";""T001038"";""1014753"";""MBG0095"";""2018JJ00"";""    77.6"";""     8.0"""
"""165"";""A048710"";""T001038"";""1014753"";""MBG0095"";""2019JJ00"";""    77.3"";""     7.8"""
"""166"";""A048710"";""T001038"";""1014753"";""MBG0095"";""2020JJ00"";""    68.0"";""     3.9"""
"""167"";""A048710"";""T001038"";""1014753"";""MBG0095"";""2021JJ00"";""    74.2"";""     4.7"""
"""168"";""A048710"";""T001038"";""1014754"";""MW00000"";""2018JJ00"";""    85.3"";""     7.7"""
"""169"";""A048710"";""T001038"";""1014754"";""MW00000"";""2019JJ00"";""    83.7"";""     8.1"""
"""170"";""A048710"";""T001038"";""1014754"";""MW00000"";""2020JJ00"";""    75.9"";""     3.8"""
"""171"";""A048710"";""T001038"";""1014754"";""MW00000"";""2021JJ00"";""    80.0"";""     3.8"""
"""172"";""A048710"";""T001038"";""1014754"";""MOG0095"";""2018JJ00"";""    84.4"";""     7.1"""
"""173"";""A048710"";""T001038"";""1014754"";""MOG0095"";""2019JJ00"";""    82.8"";""     7.5"""
"""174"";""A048710"";""T001038"";""1014754"";""MOG0095"";""2020JJ00"";""    75.0"";""     3.4"""
"""175"";""A048710"";""T001038"";""1014754"";""MOG0095"";""2021JJ00"";""    79.2"";""     3.5"""
"""176"";""A048710"";""T001038"";""1014754"";""MBG0095"";""2018JJ00"";""    86.1"";""     8.3"""
"""177"";""A048710"";""T001038"";""1014754"";""MBG0095"";""2019JJ00"";""    84.6"";""     8.7"""
"""178"";""A048710"";""T001038"";""1014754"";""MBG0095"";""2020JJ00"";""    76.7"";""     4.2"""
"""179"";""A048710"";""T001038"";""1014754"";""MBG0095"";""2021JJ00"";""    80.8"";""     4.2"""
"""180"";""A048710"";""T001038"";""1014755"";""MW00000"";""2018JJ00"";""    86.8"";""     7.5"""
"""181"";""A048710"";""T001038"";""1014755"";""MW00000"";""2019JJ00"";""    86.3"";""     8.1"""
"""182"";""A048710"";""T001038"";""1014755"";""MW00000"";""2020JJ00"";""    79.5"";""     3.3"""
